Agius et al. 2017. Hawaii Ps receiver functions.
Frequency, 0.05-0.2, Hz
Grid resolution, 1, degree
Minimum number of events, 5
LVL: Depth of negative peak above 410
lat, Lon, Depth peak LVL, Depth peak 410, TZT, Depth peak 660, Amp LVL/Amp 410, Amp LVL, Amp 660
25.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.25,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.50,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.75,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
