Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
 (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
 28.10     766.46    1500.00     4.44656   0.000     6.19103    11.07104     2.16858
 28.20     768.73    1500.00     4.44803   0.000     6.19277    11.07524     2.16807
 28.30     771.00    1500.00     4.44950   0.000     6.19450    11.07943     2.16757
 28.40     773.22    1500.00     4.45097   0.000     6.19623    11.08362     2.16706
 28.50     775.44    1500.00     4.45244   0.000     6.19804    11.08787     2.16656
 28.60     777.67    1500.00     4.45391   0.000     6.19977    11.09204     2.16605
 28.70     779.89    1500.00     4.45538   0.000     6.20149    11.09622     2.16555
 28.80     782.11    1500.00     4.45684   0.000     6.20321    11.10038     2.16505
 28.90     784.33    1500.00     4.45831   0.000     6.20493    11.10455     2.16455
 29.00     786.56    1500.00     4.45977   0.000     6.20672    11.10876     2.16405
 29.10     788.78    1500.00     4.46123   0.000     6.20843    11.11292     2.16355
 29.20     791.00    1500.00     4.46269   0.000     6.21014    11.11706     2.16305
 29.30     793.22    1500.00     4.46415   0.000     6.21185    11.12120     2.16255
 29.40     795.44    1500.00     4.46560   0.000     6.21355    11.12534     2.16206
 29.50     797.67    1500.00     4.46706   0.000     6.21533    11.12953     2.16156
 29.60     799.89    1500.00     4.46851   0.000     6.21703    11.13365     2.16106
 29.70     802.11    1500.00     4.46997   0.000     6.21873    11.13777     2.16057
 29.80     804.33    1500.00     4.47142   0.000     6.22042    11.14189     2.16008
 29.90     806.56    1500.00     4.47287   0.000     6.22211    11.14600     2.15958
 30.00     808.78    1500.00     4.47432   0.000     6.22388    11.15016     2.15909
 30.10     811.00    1500.00     4.47576   0.000     6.22557    11.15426     2.15860
 30.20     813.22    1500.00     4.47721   0.000     6.22725    11.15836     2.15811
 30.30     815.44    1500.00     4.47865   0.000     6.22893    11.16244     2.15762
 30.40     817.67    1500.00     4.48009   0.000     6.23061    11.16653     2.15713
 30.50     819.89    1500.00     4.48154   0.000     6.23236    11.17067     2.15664
 30.60     822.11    1500.00     4.48298   0.000     6.23404    11.17474     2.15615
 30.70     824.33    1500.00     4.48441   0.000     6.23571    11.17881     2.15567
 30.80     826.56    1500.00     4.48585   0.000     6.23737    11.18287     2.15518
 30.90     828.78    1500.00     4.48729   0.000     6.23904    11.18693     2.15470
 31.00     831.00    1500.00     4.48872   0.000     6.24078    11.19105     2.15421
 31.10     833.22    1500.00     4.49016   0.000     6.24244    11.19509     2.15373
 31.20     835.44    1500.00     4.49159   0.000     6.24410    11.19914     2.15325
 31.30     837.67    1500.00     4.49302   0.000     6.24575    11.20317     2.15277
 31.40     839.89    1500.00     4.49445   0.000     6.24740    11.20721     2.15229
 31.50     842.11    1500.00     4.49587   0.000     6.24914    11.21130     2.15180
 31.60     844.33    1500.00     4.49730   0.000     6.25079    11.21532     2.15133
 31.70     846.56    1500.00     4.49873   0.000     6.25243    11.21934     2.15085
 31.80     848.78    1500.00     4.50015   0.000     6.25407    11.22335     2.15037
 31.90     851.00    1500.00     4.50157   0.000     6.25571    11.22736     2.14989
 32.00     853.22    1500.00     4.50299   0.000     6.25743    11.23143     2.14942
 32.10     855.44    1500.00     4.50441   0.000     6.25907    11.23543     2.14894
 32.20     857.67    1500.00     4.50583   0.000     6.26070    11.23942     2.14847
 32.30     859.89    1500.00     4.50725   0.000     6.26233    11.24341     2.14799
 32.40     862.11    1500.00     4.50866   0.000     6.26396    11.24739     2.14752
 32.50     864.33    1500.00     4.51008   0.000     6.26567    11.25144     2.14705
 32.60     866.56    1500.00     4.51149   0.000     6.26729    11.25541     2.14657
 32.70     868.78    1500.00     4.51290   0.000     6.26891    11.25938     2.14610
 32.80     871.00    1500.00     4.51432   0.000     6.27053    11.26334     2.14564
 32.90     873.22    1500.00     4.51572   0.000     6.27214    11.26730     2.14517
 33.00     875.44    1500.00     4.51713   0.000     6.27384    11.27132     2.14469
 33.10     877.67    1500.00     4.51854   0.000     6.27545    11.27527     2.14423
 33.20     879.89    1500.00     4.51994   0.000     6.27706    11.27922     2.14376
 33.30     882.11    1500.00     4.52135   0.000     6.27866    11.28316     2.14330
 33.40     884.33    1500.00     4.52275   0.000     6.28027    11.28710     2.14283
 33.50     886.56    1500.00     4.52415   0.000     6.28196    11.29110     2.14236
 33.60     888.78    1500.00     4.52555   0.000     6.28356    11.29502     2.14190
 33.70     891.00    1500.00     4.52695   0.000     6.28515    11.29894     2.14144
 33.80     893.22    1500.00     4.52835   0.000     6.28675    11.30286     2.14097
 33.90     895.45    1500.00     4.52975   0.000     6.28834    11.30677     2.14051
 34.00     897.67    1500.00     4.53114   0.000     6.29002    11.31075     2.14005
 34.10     899.89    1500.00     4.53254   0.000     6.29160    11.31465     2.13959
 34.20     902.11    1500.00     4.53393   0.000     6.29319    11.31855     2.13913
 34.30     904.33    1500.00     4.53532   0.000     6.29477    11.32245     2.13867
 34.40     906.56    1500.00     4.53671   0.000     6.29635    11.32634     2.13821
 34.50     908.78    1500.00     4.53810   0.000     6.29802    11.33029     2.13775
 34.60     911.00    1500.00     4.53949   0.000     6.29959    11.33417     2.13730
 34.70     913.22    1500.00     4.54088   0.000     6.30117    11.33805     2.13684
 34.80     915.44    1500.00     4.54226   0.000     6.30274    11.34192     2.13638
 34.90     917.67    1500.00     4.54365   0.000     6.30430    11.34579     2.13593
 35.00     919.89    1500.00     4.54503   0.000     6.30597    11.34972     2.13547
 35.10     922.11    1500.00     4.54641   0.000     6.30753    11.35358     2.13502
 35.20     924.33    1500.00     4.54779   0.000     6.30909    11.35743     2.13457
 35.30     926.56    1500.00     4.54917   0.000     6.31065    11.36128     2.13412
